MovieID,Title,imdbID,spanishTitle,year,rtAllCriticsRating,rtAllCriticsNumReviews,rtAllCriticsNumFresh,rtAllCriticsNumRotten,rtAllCriticsScore,rtTopCriticsRating,rtTopCriticsNumReviews,rtTopCriticsNumFresh,rtTopCriticsNumRotten,rtTopCriticsScore,rtAudienceRating,rtAudienceNumRatings,rtAudienceScore,rtPictureURL,KMeans_Cluster
25,Leaving Las Vegas,113627,Leaving Las Vegas,1995,7.7,45.0,40.0,5.0,88.0,8.1,11.0,11.0,0.0,100.0,3.6,12742.0,82.0,http://content7.flixster.com/movie/10/90/25/10902561_det.jpg,0
26,Othello,114057,Otelo,1995,6.3,38.0,26.0,12.0,68.0,6.1,11.0,7.0,4.0,63.0,3.3,2018.0,66.0,http://content6.flixster.com/movie/10/92/98/10929892_det.jpg,0
27,Now and Then,114011,Amigas para siempre,1995,4.7,16.0,3.0,13.0,18.0,5.2,5.0,1.0,4.0,20.0,3.5,17168.0,78.0,http://content6.flixster.com/movie/55/36/64/5536644_det.jpg,0
28,Persuasion,114117,Persuasión,1995,7.7,23.0,19.0,4.0,82.0,8.5,9.0,9.0,0.0,100.0,3.9,7968.0,82.0,http://content6.flixster.com/movie/11/12/73/11127360_det.jpg,0
29,La cité des enfants perdus,112682,La ciudad de los niños perdidos,1995,7.0,33.0,27.0,6.0,81.0,7.2,7.0,5.0,2.0,71.0,4.0,22420.0,89.0,http://content6.flixster.com/movie/26/78/267824_det.jpg,0
30,Yao a yao yao dao waipo qiao,115012,La joya de Shangai,1995,6.8,21.0,18.0,3.0,85.0,0.0,4.0,3.0,1.0,75.0,3.6,1061.0,70.0,http://content8.flixster.com/movie/10/90/31/10903162_det.jpg,4
31,Dangerous Minds,112792,Mentes peligrosas,1995,4.7,37.0,11.0,26.0,29.0,5.0,12.0,5.0,7.0,41.0,3.1,12136.0,66.0,http://content7.flixster.com/movie/26/98/269813_det.jpg,0
32,Twelve Monkeys,114746,Twelve monkeys: doce monos,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content6.flixster.com/movie/10/93/02/10930244_det.jpg,1
33,Wings of Courage,114952,Las alas del coraje,1995,0.0,4.0,2.0,2.0,50.0,0.0,2.0,1.0,1.0,50.0,0.0,0.0,0.0,http://content7.flixster.com/movie/10/97/83/10978341_det.jpg,1
34,Babe,112431,"Babe, el cerdito valiente",1995,8.2,54.0,53.0,1.0,98.0,8.2,11.0,11.0,0.0,100.0,3.0,22954.0,54.0,http://content7.flixster.com/movie/25/32/253205_det.jpg,0
35,Carrington,112637,Carrington,1995,6.2,19.0,9.0,10.0,47.0,7.4,5.0,4.0,1.0,80.0,3.5,781.0,68.0,http://content7.flixster.com/movie/28/00/280009_det.jpg,0
36,Dead Man Walking,112818,Pena de muerte (Dead Man Walking),1995,8.2,53.0,50.0,3.0,94.0,7.9,20.0,18.0,2.0,90.0,3.6,15450.0,81.0,http://content6.flixster.com/movie/10/88/77/10887764_det.jpg,0
37,Across the Sea of Time,112286,Across the Sea of Time,1995,0.0,4.0,2.0,2.0,50.0,0.0,1.0,0.0,1.0,0.0,2.9,237.0,27.0,http://content6.flixster.com/movie/10/90/58/10905808_det.jpg,1
38,It Takes Two,113442,Dos por el precio de una,1995,3.9,24.0,2.0,22.0,8.0,4.6,8.0,2.0,6.0,25.0,2.9,16311.0,63.0,http://content7.flixster.com/movie/25/74/257417_det.jpg,0
39,Clueless,112697,Clueless: fuera de onda,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content8.flixster.com/movie/10/85/01/10850110_det.jpg,1
40,"Cry, the Beloved Country",112749,Llanto por la tierra amada,1995,7.2,13.0,10.0,3.0,76.0,0.0,4.0,3.0,1.0,75.0,3.5,520.0,66.0,http://content6.flixster.com/movie/10/89/59/10895996_det.jpg,4
41,Richard III,114279,Ricardo III (Richard III),1995,8.1,43.0,41.0,2.0,95.0,7.6,11.0,10.0,1.0,90.0,3.7,1552.0,82.0,http://content7.flixster.com/movie/26/89/268909_det.jpg,0
42,Dead Presidents,112819,Dinero para quemar,1995,5.7,31.0,14.0,17.0,45.0,6.3,12.0,7.0,5.0,58.0,3.3,4475.0,75.0,http://content7.flixster.com/movie/26/95/269521_det.jpg,0
43,Restoration,114272,Restauración,1995,6.3,31.0,21.0,10.0,67.0,6.4,10.0,6.0,4.0,60.0,3.3,1103.0,56.0,http://content6.flixster.com/movie/27/04/270404_det.jpg,0
44,Mortal Kombat,113855,Mortal Kombat,1995,4.4,26.0,9.0,17.0,34.0,3.9,6.0,2.0,4.0,33.0,2.8,18291.0,55.0,http://content9.flixster.com/movie/25/63/256395_det.jpg,0
45,Live Free or Die Hard,337978,La jungla 4.0,2007,6.8,197.0,161.0,36.0,81.0,6.7,38.0,30.0,8.0,78.0,3.9,1145097.0,86.0,http://content8.flixster.com/movie/10/93/34/10933482_det.jpg,5
46,How to Make an American Quilt,113347,Donde reside el amor,1995,5.6,22.0,11.0,11.0,50.0,7.6,6.0,5.0,1.0,83.0,3.2,2626.0,58.0,http://content8.flixster.com/movie/10/86/75/10867514_det.jpg,0
47,Shichinin no samurai,47478,Los siete samuráis,1954,9.2,49.0,49.0,0.0,100.0,8.6,10.0,10.0,0.0,100.0,4.5,29509.0,97.0,http://content7.flixster.com/movie/39/91/08/3991085_det.jpg,0
48,Pocahontas,114148,Pocahontas,1995,6.0,49.0,27.0,22.0,55.0,6.6,14.0,10.0,4.0,71.0,3.2,37858.0,63.0,http://content6.flixster.com/movie/25/15/251508_det.jpg,0
49,When Night Is Falling,114916,Cuando cae la noche,1995,5.7,16.0,8.0,8.0,50.0,0.0,4.0,1.0,3.0,25.0,3.9,1132.0,83.0,http://content6.flixster.com/movie/10/89/77/10897780_det.jpg,4
50,The Usual Suspects,114814,Sospechosos habituales,1995,7.5,47.0,41.0,6.0,87.0,6.9,14.0,12.0,2.0,85.0,4.2,109588.0,95.0,http://content7.flixster.com/movie/24/63/48/2463485_det.jpg,0
52,Mighty Aphrodite,113819,Poderosa Afrodita,1995,6.7,33.0,25.0,8.0,75.0,7.2,6.0,4.0,2.0,66.0,3.3,4866.0,69.0,http://content7.flixster.com/movie/10/84/18/10841893_det.jpg,0
53,Lamerica,110299,Lamerica,1994,8.0,10.0,9.0,1.0,90.0,0.0,1.0,1.0,0.0,100.0,3.9,239.0,82.0,http://content6.flixster.com/movie/29/78/297800_det.jpg,4
54,The Big Green,112499,Somos los peores,1995,2.8,5.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.7,2596.0,47.0,http://content7.flixster.com/movie/25/93/259305_det.jpg,4
55,Georgia Rule,791304,Georgia Rule,2007,3.8,116.0,20.0,96.0,17.0,3.4,30.0,2.0,28.0,6.0,3.0,64056.0,55.0,http://content8.flixster.com/movie/63/82/23/6382238_det.jpg,3
56,Kids of the Round Table,113541,Los chicos de la tabla redonda,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content7.flixster.com/movie/10/85/20/10852069_det.jpg,1
57,Home for the Holidays,113321,A casa por vacaciones,1995,6.0,44.0,28.0,16.0,63.0,5.7,11.0,5.0,6.0,45.0,3.4,3045.0,69.0,http://content6.flixster.com/movie/25/43/254392_det.jpg,0
58,Il postino,110877,El cartero (y Pablo Neruda),1994,7.9,25.0,23.0,2.0,92.0,0.0,4.0,4.0,0.0,100.0,4.1,5794.0,92.0,http://content8.flixster.com/movie/10/86/74/10867406_det.jpg,4
59,Le confessionnal,112714,Le confessionnal,1995,0.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://images.rottentomatoescdn.com/images/defaults/poster_default.gif,1
60,The Indian in the Cupboard,113419,La llave mágica,1995,6.2,19.0,13.0,6.0,68.0,0.0,2.0,1.0,1.0,50.0,2.7,5127.0,41.0,http://content9.flixster.com/movie/25/78/257803_det.jpg,4
61,Eye for an Eye,116260,Eye for an eye: ojo por ojo,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content8.flixster.com/movie/10/99/01/10990146_det.jpg,1
62,Mr. Holland's Opus,113862,Profesor Holland,1995,6.7,26.0,19.0,7.0,73.0,7.5,6.0,5.0,1.0,83.0,3.5,9569.0,79.0,http://content8.flixster.com/movie/10/58/42/10584210_det.jpg,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,116126,Los colegas del barrio,1996,4.5,24.0,7.0,17.0,29.0,5.6,7.0,3.0,4.0,42.0,0.0,0.0,0.0,http://content8.flixster.com/movie/28/69/286926_det.jpg,0
64,Two If by Sea,118002,Corazones robados,1996,3.9,27.0,3.0,24.0,11.0,0.0,4.0,0.0,4.0,0.0,2.6,1608.0,29.0,http://content6.flixster.com/movie/27/80/278004_det.jpg,4
65,Bio-Dome,115683,Bio-Dome,1996,1.9,21.0,1.0,20.0,4.0,2.0,7.0,0.0,7.0,0.0,2.6,8972.0,51.0,http://content6.flixster.com/movie/25/94/259420_det.jpg,1
66,Lawnmower Man 2: Beyond Cyberspace,116839,El cortador de césped II: más allá del ciberespacio,1996,2.8,9.0,1.0,8.0,11.0,0.0,3.0,1.0,2.0,33.0,2.1,952.0,18.0,http://content7.flixster.com/movie/10/86/80/10868017_det.jpg,1
67,Two Bits,114753,Two Bits,1995,5.0,10.0,4.0,6.0,40.0,0.0,4.0,1.0,3.0,25.0,3.3,685.0,54.0,http://content6.flixster.com/movie/26/66/266612_det.jpg,4
68,Gazon maudit,113149,Felpudo maldito,1995,6.1,10.0,5.0,5.0,50.0,0.0,4.0,1.0,3.0,25.0,3.4,597.0,58.0,http://content7.flixster.com/movie/27/76/277609_det.jpg,4
69,Friday,113118,A tope en viernes,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content7.flixster.com/movie/10/88/03/10880345_det.jpg,1
70,From Dusk Till Dawn,116367,Abierto hasta el amanecer,1996,6.0,43.0,27.0,16.0,62.0,4.9,10.0,5.0,5.0,50.0,3.4,36073.0,75.0,http://content9.flixster.com/movie/62/82/01/6282011_det.jpg,0
71,Fair Game,113010,Caza legal,1995,2.4,24.0,3.0,21.0,12.0,3.1,8.0,1.0,7.0,12.0,2.1,1761.0,16.0,http://content8.flixster.com/movie/27/69/276994_det.jpg,1
72,Kicking & Screaming,384642,Un entrenador genial,2005,5.1,137.0,57.0,80.0,41.0,5.0,31.0,12.0,19.0,38.0,3.0,14260.0,51.0,http://content9.flixster.com/movie/24/97/249715_det.jpg,3
73,Les misérables,119683,Los miserables,1998,6.9,41.0,31.0,10.0,75.0,6.6,11.0,6.0,5.0,54.0,3.6,7310.0,81.0,http://content9.flixster.com/movie/25/51/255107_det.jpg,0
74,Bed of Roses,115644,Mil ramos de rosas,1996,5.3,14.0,3.0,11.0,21.0,5.2,5.0,1.0,4.0,20.0,3.2,3163.0,66.0,http://content9.flixster.com/movie/25/92/259203_det.jpg,0
75,Big Bully,115676,Mi querido enemigo,1996,2.8,7.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,2.4,1459.0,23.0,http://content9.flixster.com/movie/26/51/265195_det.jpg,4
76,Screamers,114367,Asesinos cibernéticos,1995,4.7,30.0,9.0,21.0,30.0,4.9,9.0,2.0,7.0,22.0,3.0,2070.0,45.0,http://content7.flixster.com/movie/27/23/272301_det.jpg,0
77,Nico Icon,113973,Nico Icon,1995,7.1,13.0,11.0,2.0,84.0,8.0,5.0,4.0,1.0,80.0,4.0,87.0,85.0,http://content9.flixster.com/movie/10/84/77/10847739_det.jpg,0
78,The Crossing Guard,112744,Cruzando la oscuridad,1995,6.5,27.0,20.0,7.0,74.0,0.0,4.0,2.0,2.0,50.0,3.3,2170.0,56.0,http://content7.flixster.com/movie/27/69/276905_det.jpg,4
79,The Juror,116731,Coacción a un jurado,1996,4.4,19.0,3.0,16.0,15.0,4.3,6.0,1.0,5.0,16.0,2.8,2266.0,39.0,http://content6.flixster.com/movie/27/93/279316_det.jpg,0
80,Badkonake sefid,112445,El globo blanco,1995,6.8,20.0,16.0,4.0,80.0,6.6,8.0,6.0,2.0,75.0,4.0,547.0,86.0,http://content9.flixster.com/movie/54/93/06/5493067_det.jpg,0
81,Things to Do in Denver When You're Dead,114660,Cosas que hacer en Denver cuando estás muerto,1995,4.9,27.0,9.0,18.0,33.0,5.5,5.0,1.0,4.0,20.0,3.5,3197.0,72.0,http://content8.flixster.com/movie/27/06/270606_det.jpg,0
82,Antonia,112379,Antonia,1995,6.5,25.0,16.0,9.0,64.0,7.8,10.0,9.0,1.0,90.0,4.2,1707.0,90.0,http://content6.flixster.com/movie/28/20/282096_det.jpg,0
83,Once Upon a Time... When We Were Colored,114039,Once Upon a Time... When We Were Colored,1995,7.3,14.0,10.0,4.0,71.0,7.9,5.0,5.0,0.0,100.0,3.7,414.0,76.0,http://content8.flixster.com/movie/10/92/29/10922994_det.jpg,0
84,Last Summer in the Hamptons,113612,Last Summer in the Hamptons,1995,5.6,15.0,9.0,6.0,60.0,0.0,2.0,2.0,0.0,100.0,3.3,89.0,47.0,http://content8.flixster.com/movie/92/06/07/9206078_det.jpg,4
85,Angels and Insects,112365,Ángeles & insectos,1995,6.5,20.0,14.0,6.0,70.0,8.1,5.0,5.0,0.0,100.0,3.3,635.0,62.0,http://content6.flixster.com/movie/10/89/39/10893928_det.jpg,0
86,White Squall,118158,Tormenta blanca (White Squall),1996,5.8,30.0,19.0,11.0,63.0,6.3,10.0,7.0,3.0,70.0,3.2,3184.0,62.0,http://content9.flixster.com/movie/10/90/52/10905259_det.jpg,0
87,Dunston Checks In,116151,Mi colega Dunston,1996,3.8,15.0,1.0,14.0,6.0,0.0,4.0,1.0,3.0,25.0,2.5,2935.0,39.0,http://content8.flixster.com/movie/10/85/22/10852206_det.jpg,4
88,Black Sheep,779982,Ovejas asesinas,2006,6.4,87.0,61.0,26.0,70.0,6.3,21.0,15.0,6.0,71.0,3.2,19454.0,54.0,http://content6.flixster.com/movie/58/07/67/5807672_det.jpg,0
89,Nick of Time,113972,Nick of time: a la hora señalada,1995,4.6,28.0,8.0,20.0,28.0,3.8,5.0,0.0,5.0,0.0,3.1,10563.0,54.0,http://content9.flixster.com/movie/10/84/01/10840163_det.jpg,0
90,The Journey of August King,113490,The Journey of August King,1995,6.2,7.0,4.0,3.0,57.0,0.0,2.0,1.0,1.0,50.0,3.1,286.0,54.0,http://content8.flixster.com/movie/26/54/265406_det.jpg,4
92,Mary Reilly,117002,Mary Reilly,1996,4.4,41.0,11.0,30.0,26.0,4.6,9.0,2.0,7.0,22.0,2.8,3733.0,41.0,http://content6.flixster.com/movie/27/56/275628_det.jpg,0
93,Vampire in Brooklyn,114825,Un vampiro suelto en Brooklyn,1995,3.6,28.0,3.0,25.0,10.0,3.1,9.0,0.0,9.0,0.0,2.4,6122.0,37.0,http://content7.flixster.com/movie/10/88/64/10886457_det.jpg,0
94,Beautiful Girls,115639,Beautiful Girls,1996,7.0,46.0,36.0,10.0,78.0,6.3,14.0,9.0,5.0,64.0,3.6,4674.0,79.0,http://content7.flixster.com/movie/10/84/53/10845361_det.jpg,0
95,Broken Arrow,115759,Broken Arrow: alarma nuclear,1996,5.8,29.0,16.0,13.0,55.0,6.1,6.0,3.0,3.0,50.0,2.9,12489.0,51.0,http://content6.flixster.com/movie/27/12/271208_det.jpg,0
96,In the Bleak Midwinter,113403,En lo más crudo del crudo invierno,1995,7.3,19.0,17.0,2.0,89.0,0.0,3.0,2.0,1.0,66.0,4.1,309.0,88.0,http://content6.flixster.com/movie/52/63/38/5263388_det.jpg,4
97,La haine,113247,El odio,1995,8.0,14.0,14.0,0.0,100.0,0.0,4.0,4.0,0.0,100.0,4.3,11987.0,95.0,http://content8.flixster.com/movie/10/84/15/10841502_det.jpg,4
98,Going Shopping,295605,Going Shopping,2005,5.0,29.0,12.0,17.0,41.0,5.0,15.0,5.0,10.0,33.0,2.8,691.0,37.0,http://content8.flixster.com/movie/25/02/250226_det.jpg,0
99,Heidi Fleiss: Hollywood Madam,113283,Heidi Fleiss: Hollywood Madam,1995,7.5,7.0,5.0,2.0,71.0,8.8,5.0,4.0,1.0,80.0,3.0,281.0,46.0,http://content7.flixster.com/movie/30/49/304921_det.jpg,0
100,City Hall,115907,City Hall. La sombra de la corrupción,1996,6.1,22.0,12.0,10.0,54.0,7.0,6.0,3.0,3.0,50.0,3.0,2730.0,42.0,http://content8.flixster.com/movie/27/59/275902_det.jpg,0
101,Bottle Rocket,115734,Ladrón que roba a otro ladrón,1996,6.6,42.0,33.0,9.0,78.0,6.1,9.0,5.0,4.0,55.0,3.7,16217.0,80.0,http://content6.flixster.com/movie/26/73/267324_det.jpg,0
102,Mr. Wrong,117102,Mr. Wrong,1996,3.1,28.0,1.0,27.0,3.0,3.1,8.0,0.0,8.0,0.0,2.4,1544.0,29.0,http://content8.flixster.com/movie/10/92/04/10920478_det.jpg,0
103,Unforgettable,118040,Escondido en la memoria,1996,4.4,26.0,6.0,20.0,23.0,0.0,4.0,0.0,4.0,0.0,3.0,358.0,36.0,http://content8.flixster.com/movie/11/13/35/11133586_det.jpg,4
104,Happy Gilmore,116483,Terminagolf,1996,5.5,50.0,29.0,21.0,58.0,5.1,11.0,4.0,7.0,36.0,3.7,114875.0,83.0,http://content7.flixster.com/movie/25/96/259613_det.jpg,0
105,The Bridges of Madison County,112579,Los puentes de Madison,1995,7.2,40.0,36.0,4.0,90.0,7.9,9.0,9.0,0.0,100.0,3.6,11573.0,83.0,http://content6.flixster.com/movie/10/92/73/10927328_det.jpg,0
106,Keiner liebt mich,110251,Nadie me quiere,1994,6.0,6.0,4.0,2.0,66.0,0.0,1.0,1.0,0.0,100.0,4.2,161.0,89.0,http://content6.flixster.com/movie/10/89/61/10896152_det.jpg,4
107,Muppet Treasure Island,117110,Los teleñecos en la isla del tesoro,1996,6.1,22.0,15.0,7.0,68.0,7.4,5.0,4.0,1.0,80.0,3.2,8588.0,68.0,http://content6.flixster.com/movie/10/88/15/10881572_det.jpg,0
110,Braveheart,112573,Braveheart,1995,7.0,48.0,37.0,11.0,77.0,6.7,16.0,12.0,4.0,75.0,3.8,204275.0,83.0,http://content9.flixster.com/movie/16/90/54/1690543_det.jpg,0
111,Taxi Driver,75314,Taxi Driver,1976,8.7,50.0,49.0,1.0,98.0,7.7,9.0,8.0,1.0,88.0,4.1,58145.0,93.0,http://content9.flixster.com/movie/10/91/39/10913987_det.jpg,0
112,Hung fan kui,113326,Duro de matar,1995,6.4,52.0,41.0,11.0,78.0,6.5,16.0,13.0,3.0,81.0,3.1,7517.0,62.0,http://content6.flixster.com/movie/10/88/62/10886212_det.jpg,0
113,Before and After,115645,Antes y después,1996,4.8,19.0,6.0,13.0,31.0,5.7,5.0,2.0,3.0,40.0,3.0,1276.0,39.0,http://content8.flixster.com/movie/26/53/265310_det.jpg,0
114,Margaret's Museum,113774,Margaret's Museum,1995,6.9,6.0,4.0,2.0,66.0,0.0,1.0,1.0,0.0,100.0,3.7,500.0,76.0,http://content7.flixster.com/movie/10/43/62/10436297_det.jpg,4
115,Le bonheur est dans le pré,112556,La alegría está en el campo,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content8.flixster.com/movie/10/91/13/10911350_det.jpg,1
116,Anne Frank Remembered,112373,Anne Frank Remembered,1995,7.8,27.0,26.0,1.0,96.0,7.6,16.0,15.0,1.0,93.0,3.7,1076.0,79.0,http://content9.flixster.com/movie/10/87/14/10871419_det.jpg,0
117,The Young Poisoner's Handbook,115033,The Young Poisoner's Handbook,1995,7.1,13.0,11.0,2.0,84.0,0.0,3.0,3.0,0.0,100.0,3.7,541.0,79.0,http://content8.flixster.com/movie/52/63/47/5263478_det.jpg,4
118,If Lucy Fell,116606,"Si no te casas, me mato",1996,4.0,26.0,5.0,21.0,19.0,4.3,9.0,2.0,7.0,22.0,3.1,1202.0,49.0,http://content7.flixster.com/movie/10/36/17/10361777_det.jpg,0
119,Steal Big Steal Little,114536,Días de fortuna,1995,4.5,13.0,2.0,11.0,15.0,0.0,3.0,0.0,3.0,0.0,2.9,555.0,36.0,http://content9.flixster.com/movie/10/86/77/10867755_det.jpg,4
120,Race the Sun,117427,La carrera del sol,1996,4.8,9.0,2.0,7.0,22.0,0.0,3.0,0.0,3.0,0.0,2.9,822.0,40.0,http://content7.flixster.com/movie/10/88/81/10888113_det.jpg,4
121,The Boys of St. Vincent,106473,The Boys of St. Vincent,1992,8.2,6.0,6.0,0.0,100.0,0.0,1.0,1.0,0.0,100.0,3.5,401.0,77.0,http://content7.flixster.com/movie/11/12/44/11124449_det.jpg,4
122,Boomerang,103859,Boomerang: el príncipe de las mujeres,1992,4.8,27.0,10.0,17.0,37.0,5.4,8.0,4.0,4.0,50.0,2.8,4751.0,55.0,http://content6.flixster.com/movie/26/81/268128_det.jpg,0
123,Chung Hing sam lam,109424,Chungking Express,1994,7.7,27.0,26.0,1.0,96.0,6.8,7.0,6.0,1.0,85.0,4.2,11068.0,93.0,http://content6.flixster.com/movie/10/85/69/10856936_det.jpg,0
124,L'uomo delle stelle,114808,El hombre de las estrellas,1995,6.5,12.0,9.0,3.0,75.0,7.0,5.0,4.0,1.0,80.0,3.7,543.0,73.0,http://content9.flixster.com/movie/27/57/275715_det.jpg,0
125,Flirting with Disaster,116324,Flirteando con el desastre,1996,7.4,42.0,36.0,6.0,85.0,8.5,6.0,6.0,0.0,100.0,3.3,2127.0,65.0,http://content9.flixster.com/movie/92/18/93/9218931_det.jpg,0
126,The Neverending Story III,110647,Las aventuras de Bastian: La historia interminable III,1994,0.0,3.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://content9.flixster.com/movie/10/88/07/10880743_det.jpg,1
